#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 416000      4.64e+00      7.54e-03      4.64e-02      1.72e-02    2.4e-04
 418000      7.71e+00      1.10e-01      7.63e-02      7.95e-02    2.4e-04
 420000      9.06e+00      1.43e-01      8.19e-02      3.02e-01    2.4e-04
 422000      1.21e+01      5.65e-02      1.01e-01      3.73e-01    2.4e-04
 424000      3.15e+00      4.71e-02      2.55e-02      1.01e-01    2.3e-04
 426000      8.88e+00      1.43e-01      8.70e-02      1.38e-01    2.3e-04
 428000      8.69e+00      2.30e-02      8.28e-02      1.47e-01    2.3e-04
 430000      8.27e+00      1.02e-01      7.94e-02      1.80e-01    2.3e-04
 432000      8.96e+00      3.08e-02      8.85e-02      7.66e-02    2.3e-04
 434000      7.52e+01      1.81e-01      7.39e-01      1.07e+00    2.3e-04
 436000      2.03e+01      1.85e-01      1.94e-01      4.69e-01    2.3e-04
 438000      1.35e+01      5.00e-02      1.31e-01      2.59e-01    2.2e-04
 440000      1.39e+01      1.33e-02      1.35e-01      2.66e-01    2.2e-04
 442000      3.19e+01      7.74e-02      3.06e-01      6.85e-01    2.2e-04
 444000      1.13e+01      5.84e-02      1.10e-01      1.39e-01    2.2e-04
 446000      1.92e+01      1.07e-01      1.91e-01      1.15e-01    2.2e-04
 448000      1.27e+01      2.16e-02      1.27e-01      6.52e-02    2.2e-04
 450000      3.95e+00      1.18e-02      3.89e-02      1.53e-01    2.1e-04
 452000      1.16e+01      4.26e-02      1.13e-01      2.16e-01    2.1e-04
 454000      3.94e+00      1.85e-03      3.91e-02      2.73e-02    2.1e-04
 456000      1.24e+01      1.28e-02      1.23e-01      1.31e-01    2.1e-04
 458000      7.84e+00      1.19e-02      7.80e-02      4.47e-02    2.1e-04
 460000      2.01e+01      3.16e-02      1.98e-01      2.89e-01    2.1e-04
 462000      5.67e+00      5.17e-02      5.55e-02      9.54e-02    2.1e-04
 464000      1.08e+01      2.94e-02      1.08e-01      3.33e-02    2.0e-04
 466000      8.75e+00      5.41e-03      8.72e-02      5.20e-02    2.0e-04
 468000      1.06e+01      2.71e-02      1.06e-01      6.67e-02    2.0e-04
