#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 620000      1.03e+01      1.10e-02      1.03e-01      6.77e-02    1.2e-04
 622000      1.85e+01      4.75e-02      1.84e-01      1.10e-01    1.2e-04
 624000      9.06e+00      3.65e-02      8.93e-02      1.20e-01    1.2e-04
 626000      1.14e+01      2.42e-02      1.08e-01      1.94e-01    1.2e-04
 628000      9.88e+00      1.45e-02      9.88e-02      3.34e-02    1.2e-04
 630000      1.26e+01      6.29e-03      1.24e-01      1.13e-01    1.2e-04
 632000      1.18e+01      5.13e-03      1.17e-01      8.15e-02    1.2e-04
 634000      1.97e+01      2.95e-02      1.95e-01      1.80e-01    1.1e-04
 636000      3.58e+01      4.62e-02      3.57e-01      1.95e-01    1.1e-04
 638000      9.86e+00      2.09e-02      9.81e-02      7.25e-02    1.1e-04
 640000      1.80e+01      6.93e-02      1.80e-01      7.00e-02    1.1e-04
 642000      1.30e+01      6.16e-03      1.30e-01      5.08e-02    1.1e-04
 644000      2.27e+01      8.46e-02      2.26e-01      1.10e-01    1.1e-04
 646000      1.15e+01      4.10e-02      1.15e-01      3.92e-02    1.1e-04
 648000      1.67e+01      2.11e-02      1.66e-01      1.01e-01    1.1e-04
 650000      9.46e+00      4.43e-02      9.44e-02      3.71e-02    1.1e-04
 652000      1.06e+01      4.73e-02      1.06e-01      4.56e-02    1.1e-04
 654000      1.11e+01      1.63e-02      1.09e-01      1.47e-01    1.1e-04
 656000      9.61e+00      9.93e-02      7.89e-02      3.11e-01    1.1e-04
 658000      8.20e+00      9.23e-02      7.35e-02      2.05e-01    1.1e-04
 660000      1.27e+01      4.11e-02      1.26e-01      8.44e-02    1.0e-04
 662000      1.26e+01      4.45e-02      1.25e-01      1.87e-01    1.0e-04
 664000      1.15e+01      6.99e-02      1.13e-01      1.39e-01    1.0e-04
 666000      1.30e+01      6.28e-03      1.30e-01      4.18e-02    1.0e-04
 668000      2.03e+01      2.69e-02      1.97e-01      2.75e-01    1.0e-04
 670000      1.71e+01      1.62e-02      1.70e-01      1.43e-01    1.0e-04
 672000      1.15e+01      3.35e-02      1.15e-01      2.95e-02    1.0e-04
